,name,Squad,Average age,Foreigners,Average market value,Total market value,Ranking,MP,GD,Pts,Season
56,Torino FC,37.0,28.9,7.0,1.5,55.55,16,38,-20,40,2006
57,Atalanta BC,40.0,25.5,8.0,1.34,53.48,8,38,2,50,2006
58,Reggina Calcio,43.0,24.1,7.0,1.17,50.1,14,38,2,40,2006
59,Parma FC,38.0,24.2,8.0,1.23,46.9,12,38,-15,42,2006
60,AC Siena,39.0,26.1,12.0,1.18,46.08,15,38,-10,40,2006
61,Cagliari Calcio,35.0,24.9,5.0,1.29,45.1,17,38,-11,40,2006
62,Empoli FC,35.0,24.3,2.0,1.27,44.3,7,38,-1,54,2006
63,FC Messina Peloro,46.0,26.5,12.0,0.882,40.58,20,38,-32,26,2006
64,Calcio Catania,36.0,27.3,6.0,1.07,38.6,13,38,-22,41,2006
65,Ascoli Calcio 1898,47.0,25.9,9.0,0.549,25.8,19,38,-31,27,2006
66,FC Internazionale,48.0,25.4,31.0,6.46,310.0,1,38,43,85,2007
67,AC Milan,41.0,27.1,18.0,6.81,279.4,5,38,28,64,2007
68,AS Roma,37.0,25.7,19.0,6.61,244.4,2,38,35,82,2007
69,Juventus FC,38.0,25.3,14.0,6.23,236.85,3,38,35,72,2007
70,ACF Fiorentina,46.0,23.3,16.0,3.73,171.35,4,38,16,66,2007
71,Udinese Calcio,49.0,22.7,24.0,2.35,115.05,7,38,-5,57,2007
72,SS Lazio,40.0,26.1,15.0,2.77,110.8,12,38,-4,46,2007
73,US Palermo,43.0,23.7,6.0,2.44,104.8,11,38,-10,47,2007
74,SSC Napoli,30.0,26.8,9.0,2.57,76.95,8,38,-3,50,2007
75,UC Sampdoria,41.0,24.3,8.0,1.85,75.7,6,38,10,60,2007
76,Genoa CFC,45.0,24.9,17.0,1.41,63.25,10,38,-8,48,2007
77,Torino FC,40.0,25.3,8.0,1.5,60.05,15,38,-13,40,2007
78,Calcio Catania,40.0,27.0,11.0,1.46,58.4,17,38,-12,37,2007
79,Atalanta BC,38.0,25.5,10.0,1.44,54.8,9,38,-4,48,2007
80,Parma FC,41.0,25.5,7.0,1.28,52.5,19,38,-20,34,2007
81,Empoli FC,38.0,24.2,3.0,1.3,49.5,18,38,-23,36,2007
82,AS Livorno,36.0,26.8,10.0,1.34,48.35,20,38,-25,30,2007
83,Reggina Calcio,45.0,23.1,15.0,0.983,44.23,16,38,-19,40,2007
84,AC Siena,42.0,25.9,18.0,1.02,42.8,13,38,-5,44,2007
85,Cagliari Calcio,42.0,24.5,11.0,0.981,41.2,14,38,-16,42,2007
86,Juventus FC,48.0,25.6,20.0,8.16,391.45,1,38,57,102,2013
87,FC Internazionale,63.0,24.3,36.0,4.65,292.65,5,38,23,60,2013
88,SSC Napoli,36.0,26.8,25.0,7.68,276.6,3,38,38,78,2013
89,AC Milan,47.0,25.3,22.0,5.62,263.95,8,38,8,57,2013
90,ACF Fiorentina,56.0,25.3,34.0,4.45,249.13,4,38,21,65,2013
91,AS Roma,59.0,23.9,30.0,4.18,246.4,2,38,47,85,2013
92,SS Lazio,54.0,25.0,33.0,3.02,162.95,9,38,0,56,2013
93,Udinese Calcio,63.0,23.7,41.0,1.97,123.95,13,38,-11,44,2013
94,Genoa CFC,66.0,24.4,33.0,1.55,102.1,14,38,-9,44,2013
95,Parma FC,48.0,25.2,22.0,1.87,89.78,6,38,12,58,2013
96,US Sassuolo,56.0,25.0,12.0,1.57,87.85,17,38,-29,34,2013
97,Cagliari Calcio,36.0,24.9,15.0,2.39,86.2,15,38,-19,39,2013
98,UC Sampdoria,58.0,24.5,19.0,1.44,83.48,12,38,-14,45,2013
99,Torino FC,43.0,25.4,20.0,1.87,80.25,7,38,10,57,2013
